model,n_estimators,max_depth,max_features,precision_score,recall_score,f1_score,roc_auc_score
RandomForest,1200,8,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9423558897243108
RandomForest,1200,8,2,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.949874686716792
RandomForest,1200,8,5,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9398496240601504
RandomForest,1200,8,10,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9273182957393484
RandomForest,1400,3,1,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.9473684210526316
RandomForest,1400,3,2,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9473684210526316
RandomForest,1400,3,5,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.9398496240601504
RandomForest,1400,3,10,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9348370927318296
RandomForest,1400,5,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.949874686716792
RandomForest,1400,5,2,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9473684210526316
RandomForest,1400,5,5,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9423558897243108
RandomForest,1400,5,10,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9348370927318296
RandomForest,1400,8,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9448621553884712
RandomForest,1400,8,2,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9523809523809524
RandomForest,1400,8,5,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9398496240601504
RandomForest,1400,8,10,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9298245614035088
RandomForest,1600,3,1,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.9473684210526316
RandomForest,1600,3,2,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9473684210526316
RandomForest,1600,3,5,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.9398496240601504
RandomForest,1600,3,10,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9348370927318296
RandomForest,1600,5,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.949874686716792
RandomForest,1600,5,2,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9473684210526316
RandomForest,1600,5,5,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9423558897243108
RandomForest,1600,5,10,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9348370927318296
RandomForest,1600,8,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9448621553884712
RandomForest,1600,8,2,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9523809523809524
RandomForest,1600,8,5,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9398496240601504
RandomForest,1600,8,10,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9298245614035088
RandomForest,2000,3,1,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.9473684210526316
RandomForest,2000,3,2,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9473684210526316
RandomForest,2000,3,5,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.9398496240601504
RandomForest,2000,3,10,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9348370927318296
RandomForest,2000,5,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.949874686716792
RandomForest,2000,5,2,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9473684210526316
RandomForest,2000,5,5,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9423558897243108
RandomForest,2000,5,10,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9348370927318296
RandomForest,2000,8,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9448621553884712
RandomForest,2000,8,2,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9523809523809524
RandomForest,2000,8,5,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9398496240601504
RandomForest,2000,8,10,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9298245614035088
RandomForest,2200,3,1,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.9448621553884712
RandomForest,2200,3,2,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9473684210526316
RandomForest,2200,3,5,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.9398496240601504
RandomForest,2200,3,10,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9348370927318296
RandomForest,2200,5,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9473684210526316
RandomForest,2200,5,2,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9473684210526316
RandomForest,2200,5,5,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9423558897243108
RandomForest,2200,5,10,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9348370927318296
RandomForest,2200,8,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9448621553884712
RandomForest,2200,8,2,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9523809523809524
RandomForest,2200,8,5,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9398496240601504
RandomForest,2200,8,10,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9298245614035088
