model,penalty,solver,C,precision_score,recall_score,f1_score,roc_auc_score
logistic_regression,l1,saga,0.001,0.42857142857142855,0.9147869674185464,0.42857142857142855,0.42857142857142855
logistic_regression,l1,saga,0.004641588833612777,0.42857142857142855,0.9147869674185464,0.42857142857142855,0.42857142857142855
logistic_regression,l1,saga,0.021544346900318832,0.5238095238095238,0.9172932330827068,0.5238095238095238,0.5238095238095238
logistic_regression,l1,saga,0.1,0.5238095238095238,0.9172932330827067,0.5238095238095238,0.5238095238095238
logistic_regression,l1,saga,0.46415888336127775,0.5238095238095238,0.9172932330827067,0.5238095238095238,0.5238095238095238
logistic_regression,l1,saga,2.154434690031882,0.5238095238095238,0.9172932330827067,0.5238095238095238,0.5238095238095238
logistic_regression,l1,saga,10.0,0.5238095238095238,0.9172932330827067,0.5238095238095238,0.5238095238095238
logistic_regression,l1,saga,46.41588833612773,0.5238095238095238,0.9172932330827067,0.5238095238095238,0.5238095238095238
logistic_regression,l1,saga,215.44346900318823,0.5238095238095238,0.9172932330827067,0.5238095238095238,0.5238095238095238
logistic_regression,l1,saga,1000.0,0.5238095238095238,0.9172932330827067,0.5238095238095238,0.5238095238095238
logistic_regression,l1,liblinear,0.001,0.42857142857142855,0.9147869674185464,0.42857142857142855,0.42857142857142855
logistic_regression,l1,liblinear,0.004641588833612777,0.42857142857142855,0.9147869674185464,0.42857142857142855,0.42857142857142855
logistic_regression,l1,liblinear,0.021544346900318832,0.5238095238095238,0.9172932330827068,0.5238095238095238,0.5238095238095238
logistic_regression,l1,liblinear,0.1,0.5238095238095238,0.9172932330827067,0.5238095238095238,0.5238095238095238
logistic_regression,l1,liblinear,0.46415888336127775,0.5238095238095238,0.9172932330827067,0.5238095238095238,0.5238095238095238
logistic_regression,l1,liblinear,2.154434690031882,0.5238095238095238,0.9172932330827067,0.5238095238095238,0.5238095238095238
logistic_regression,l1,liblinear,10.0,0.5238095238095238,0.9172932330827067,0.5238095238095238,0.5238095238095238
logistic_regression,l1,liblinear,46.41588833612773,0.5238095238095238,0.9172932330827067,0.5238095238095238,0.5238095238095238
logistic_regression,l1,liblinear,215.44346900318823,0.5238095238095238,0.9172932330827067,0.5238095238095238,0.5238095238095238
logistic_regression,l1,liblinear,1000.0,0.5238095238095238,0.9172932330827067,0.5238095238095238,0.5238095238095238
logistic_regression,l2,saga,0.001,0.47619047619047616,0.9197994987468672,0.47619047619047616,0.47619047619047616
logistic_regression,l2,saga,0.004641588833612777,0.5238095238095238,0.9172932330827067,0.5238095238095238,0.5238095238095238
logistic_regression,l2,saga,0.021544346900318832,0.5238095238095238,0.9147869674185464,0.5238095238095238,0.5238095238095238
logistic_regression,l2,saga,0.1,0.5238095238095238,0.9172932330827067,0.5238095238095238,0.5238095238095238
logistic_regression,l2,saga,0.46415888336127775,0.5238095238095238,0.9172932330827067,0.5238095238095238,0.5238095238095238
logistic_regression,l2,saga,2.154434690031882,0.5238095238095238,0.9172932330827067,0.5238095238095238,0.5238095238095238
logistic_regression,l2,saga,10.0,0.5238095238095238,0.9172932330827067,0.5238095238095238,0.5238095238095238
logistic_regression,l2,saga,46.41588833612773,0.5238095238095238,0.9172932330827067,0.5238095238095238,0.5238095238095238
logistic_regression,l2,saga,215.44346900318823,0.5238095238095238,0.9172932330827067,0.5238095238095238,0.5238095238095238
logistic_regression,l2,saga,1000.0,0.5238095238095238,0.9172932330827067,0.5238095238095238,0.5238095238095238
logistic_regression,l2,liblinear,0.001,0.47619047619047616,0.9197994987468672,0.47619047619047616,0.47619047619047616
logistic_regression,l2,liblinear,0.004641588833612777,0.5238095238095238,0.9172932330827067,0.5238095238095238,0.5238095238095238
logistic_regression,l2,liblinear,0.021544346900318832,0.5238095238095238,0.9147869674185464,0.5238095238095238,0.5238095238095238
logistic_regression,l2,liblinear,0.1,0.5238095238095238,0.9172932330827067,0.5238095238095238,0.5238095238095238
logistic_regression,l2,liblinear,0.46415888336127775,0.5238095238095238,0.9172932330827067,0.5238095238095238,0.5238095238095238
logistic_regression,l2,liblinear,2.154434690031882,0.5238095238095238,0.9172932330827067,0.5238095238095238,0.5238095238095238
logistic_regression,l2,liblinear,10.0,0.5238095238095238,0.9172932330827067,0.5238095238095238,0.5238095238095238
logistic_regression,l2,liblinear,46.41588833612773,0.5238095238095238,0.9172932330827067,0.5238095238095238,0.5238095238095238
logistic_regression,l2,liblinear,215.44346900318823,0.5238095238095238,0.9172932330827067,0.5238095238095238,0.5238095238095238
logistic_regression,l2,liblinear,1000.0,0.5238095238095238,0.9172932330827067,0.5238095238095238,0.5238095238095238
